proj_ID,seq_no,time,estimate,let_date,length,winner,win_amt,num_bids,bid_spread,compiled_bids,county,month
STP 2017(321),3019,60 WORKING DAYS,4536882.35,12/1/2016,10.336,HUNTER INDUSTRIES LTD.,3460417.8,7,1146371.7,"AUSTIN MATERIALS LLC | $3,978,879.95; DEAN WORD COMPANY LTD. | $4,201,616.97; HUNTER INDUSTRIES LTD. | $3,460,417.80; ANGEL BROTHERS HOLDINGS CORP. | $3,663,320.82; LONE STAR PAVING COMPANY | $4,606,789.50; CLARK CONSTRUCTION OF TEXAS INC. | $4,468,712.99; IOC COMPANY LLC | $4,502,044.43",GONZALES,12
NH 2017(346),3020,91 WORKING DAYS,305586.1,12/1/2016,1.29,OPPORTUNITY EXCAVATION/CONCRETE LLC,323412.25,2,118520,"OPPORTUNITY EXCAVATION/CONCRETE LLC | $323,412.25; ENCINO LANDSCAPE INC. | $441,932.25",BURLESON,12
BR 2017(318),3022,60 WORKING DAYS,807494,12/1/2016,0.288,HUNTER INDUSTRIES LTD.,831842.18,8,835831.41,"ANGEL BROTHERS HOLDINGS CORP. | $1,038,018.40; HILL COUNTRY BRIDGE INC. | $1,221,951.67; TMES LLC | $1,667,673.59; HUNTER INDUSTRIES LTD. | $831,842.18; RELMCO INC. | $1,036,720.00; CORNERSTONE PAVING AND CONSTRUCTION L.L.C. | $1,354,184.00; DEAN WORD COMPANY LTD. | $1,228,572.85; A GREATER AUSTIN DEVELOPMENT CONCRETE CONSTRUCTION L.L.C. | $1,321,001.35",FAYETTE,12
STP 2017(317),3023,576 WORKING DAYS,10796893.48,12/1/2016,8.208,ASAGO LLC,8889677.69,6,3249353.29,"TEXAS SAI INC. | $9,827,711.97; IOC COMPANY LLC | $9,841,438.26; ASAGO LLC | $8,889,677.69; FOREMOST PAVING INC. | $9,529,352.68; REIM CONSTRUCTION INC. | $10,608,497.67; ANDERSON COLUMBIA CO. INC. | $12,139,030.98",HIDALGO,12
STP 2017(397),3026,45 WORKING DAYS,1252847.75,12/1/2016,2.325,BIG CREEK CONSTRUCTION LTD.,1218683.3,4,271082.05,"KNIFE RIVER CORPORATION - SOUTH | $1,226,134.09; OLDCASTLE MATERIALS TEXAS INC. | $1,261,099.69; WEST TEXAS REBAR PLACERS INC. | $1,489,765.35; BIG CREEK CONSTRUCTION LTD. | $1,218,683.30",LIMESTONE,12
NH 2017(348),3027,110 WORKING DAYS,2817728.27,12/1/2016,0.871,BIG CREEK CONSTRUCTION LTD.,2450487.6,4,941380.07,"KNIFE RIVER CORPORATION - SOUTH | $2,476,403.04; A. L. HELMCAMP INC. | $2,919,532.36; OLDCASTLE MATERIALS TEXAS INC. | $3,391,867.67; BIG CREEK CONSTRUCTION LTD. | $2,450,487.60",FREESTONE,12
STP 2017(314),3028,175 WORKING DAYS,5634947.9,12/1/2016,6.844,PINTO CONSTRUCTION CO. INC.,4724025.62,7,2835972.58,"DREWERY CONSTRUCTION COMPANY INCORPORATED | $5,438,197.29; L. S. EQUIPMENT CO. INC. | $5,770,587.60; PINTO CONSTRUCTION CO. INC. | $4,724,025.62; A. L. HELMCAMP INC. | $4,838,152.96; EAST TEXAS BRIDGE INC. | $7,559,998.20; LONGVIEW BRIDGE AND ROAD LTD. | $6,120,940.72; FNH CONSTRUCTION LLC | $7,340,145.20",NACOGDOCHES,12
STP 2016(992)HES,3029,251 WORKING DAYS,3934106.35,12/1/2016,3.053,KNIFE RIVER CORPORATION - SOUTH,3875212.2,6,1963876.3,"A. L. HELMCAMP INC. | $4,214,170.09; BIG CREEK CONSTRUCTION LTD. | $4,587,110.34; KNIFE RIVER CORPORATION - SOUTH | $3,875,212.20; BRETT CONSTRUCTION COMPANY | $4,061,487.63; ED BELL CONSTRUCTION COMPANY | $4,693,656.47; FNH CONSTRUCTION LLC | $5,839,088.50",NAVARRO,12
NH 2017(371),3030,23 WORKING DAYS,1009720.3,12/1/2016,30.207,INTERMOUNTAIN SLURRY SEAL INC.,1112445,2,931039.99,"INTERMOUNTAIN SLURRY SEAL INC. | $1,112,445.00; BRANNAN PAVING CO. LTD. | $2,043,484.99",PARMER,12
NH 2017(302),3031,48 WORKING DAYS,2792701.8,12/1/2016,20.59,HUNTER INDUSTRIES LTD.,2735640.96,5,449898.71,"LONE STAR PAVING COMPANY | $2,787,030.94; ANGEL BROTHERS HOLDINGS CORP. | $2,963,073.21; HUNTER INDUSTRIES LTD. | $2,735,640.96; IOC COMPANY LLC | $2,783,706.35; J. CARROLL WEAVER INC. | $3,185,539.67",KARNES,12
BR 2017(327),3032,0 X,6174983.4,12/1/2016,0.299,LESNA CONSTRUCTION INC.,3793865,7,2381965.54,"GILVIN-TERRILL LTD. | $4,978,067.15; DAN WILLIAMS COMPANY | $5,041,907.40; LESNA CONSTRUCTION INC. | $3,793,865.00; FNF CONSTRUCTION INC. | $4,961,534.86; DCI CONTRACTING INC. | $6,175,830.54; SCR CIVIL CONSTRUCTION LLC | $5,660,441.60; KIEWIT INFRASTRUCTURE SOUTH CO. | $6,172,768.02",REEVES,12
STP 2017(323),3033,128 WORKING DAYS,2812077.69,12/1/2016,4.941,HUNTER INDUSTRIES LTD.,2468925.07,6,804938.38,"CORNERSTONE PAVING AND CONSTRUCTION L.L.C. | $2,905,801.67; KNIFE RIVER CORPORATION - SOUTH | $3,057,048.06; HUNTER INDUSTRIES LTD. | $2,468,925.07; ANGEL BROTHERS HOLDINGS CORP. | $2,740,650.01; AARON CONCRETE CONTRACTORS L.P. | $3,186,108.85; SALINAS CONSTRUCTION TECHNOLOGIES LTD. | $3,273,863.45",LEE,12
BR 2006(653),3034,107 WORKING DAYS,921936.94,12/1/2016,0.2,COPPELL CONSTRUCTION CO. INC.,837893.66,8,602310.34,"HODGES AND SON CONSTRUCTION COMPANY INC. | $997,171.10; PIERCE R & B LLC | $1,033,333.00; RAMA ENTERPRISES LLC | $1,440,204.00; COPPELL CONSTRUCTION CO. INC. | $837,893.66; STATELINE CONSTRUCTION LLC | $925,429.00; RK HALL LLC | $1,393,093.86; EARTH BUILDERS L.P. | $1,062,621.50; ED BELL CONSTRUCTION COMPANY | $1,269,616.50",COOKE,12
STP 2016(366),3035,145 WORKING DAYS,1440422.02,12/1/2016,0.1,TI-ZACK CONCRETE INC.,1419691.25,6,1319025.2,"ENCINO LANDSCAPE INC. | $1,573,121.47; SOUTH TEXAS ILLUMINATION LLC | $1,588,649.59; TI-ZACK CONCRETE INC. | $1,419,691.25; HIGHWAY 19 CONSTRUCTION LLC | $1,491,641.85; FNH CONSTRUCTION LLC | $1,933,098.51; EAST TEXAS BRIDGE INC. | $2,738,716.45",SMITH,12
STP 2017(422)TAPS,3037,90 WORKING DAYS,937366.6,12/1/2016,1.733,DEZTEX INDUSTRIAL SERVICES LLC,964954.45,8,350235.57,"BRYSTAR CONTRACTING INC. | $1,172,609.00; FORDE CONSTRUCTION COMPANY INC. | $1,189,605.10; OLDCASTLE MATERIALS TEXAS INC. | $1,315,190.02; DEZTEX INDUSTRIAL SERVICES LLC | $964,954.45; TRIPLE B SERVICES LLP | $1,048,854.00; ANGEL BROTHERS HOLDINGS CORP. | $1,288,029.50; ENCINO LANDSCAPE INC. | $1,207,183.00; SOUTH TEXAS ILLUMINATION LLC | $1,210,623.63",CHAMBERS,12
STP 2017(398),3038,64 WORKING DAYS,3468716.3,12/1/2016,7.221,OLDCASTLE MATERIALS TEXAS INC.,3489225.84,5,1194531.89,"AUSTIN MATERIALS LLC | $3,615,162.93; KNIFE RIVER CORPORATION - SOUTH | $3,895,960.06; OLDCASTLE MATERIALS TEXAS INC. | $3,489,225.84; CLARK CONSTRUCTION OF TEXAS INC. | $3,595,367.93; BIG CREEK CONSTRUCTION LTD. | $4,683,757.73",BELL,12
RMC - 630593001,4007,60 W,836151.5,12/1/2016,0.17,AUSTIN FILTER SYSTEMS INC.,781891.4,9,494528.6,"BECK-REIT & SONS LTD. | $786,120.00; SALINAS CONSTRUCTION TECHNOLOGIES LTD. | $811,877.50; CHAMPION INFRASTRUCTURE LLC | $1,125,110.00; AUSTIN FILTER SYSTEMS INC. | $781,891.40; FNH CONSTRUCTION LLC | $1,276,420.00; DEAN WORD COMPANY LTD. | $782,290.48; CORNERSTONE PAVING AND CONSTRUCTION L.L.C. | $1,033,115.50; MAIN LANE INDUSTRIES LTD. | $883,000.00; CONSTAR CONSTRUCTION | $890,798.00",FAYETTE,12
RMC - 631022001,4010,730 CALENDAR DAYS,5885260,12/1/2016,0.01,K-BAR SERVICES INC.,5739451.5,3,1679941.5,"ISI CONTRACTING INC. | $6,041,570.00; ICA MAINTENANCE INC. | $7,419,393.00; K-BAR SERVICES INC. | $5,739,451.50",TRAVIS,12
RMC - 628632001,4014,57 W,1456912.08,12/1/2016,3.088,GLENN FUQUA INC.,1331516.98,5,211373.57,"BIG CREEK CONSTRUCTION LTD. | $1,466,478.14; CORNERSTONE PAVING AND CONSTRUCTION L.L.C. | $1,533,031.75; GLENN FUQUA INC. | $1,331,516.98; KNIFE RIVER CORPORATION - SOUTH | $1,465,182.08; A. L. HELMCAMP INC. | $1,542,890.55",MADISON,12
RMC - 630816001,4018,35 W,340700,12/1/2016,279.75,TEXAS TREE & LANDSCAPE LTD.,391870.25,2,23767.25,"TEXAS TREE & LANDSCAPE LTD. | $391,870.25; HX FARMS INC. | $415,637.50",TITUS,12
RMC - 630540001,4019,30 W,318860.48,12/1/2016,200,GREENPAK SOLUTIONS LIMITED LIABILITY COMPANY,282625.2,4,346191.2,"CHAMPION INFRASTRUCTURE LLC | $333,515.66; SCR CIVIL CONSTRUCTION LLC | $523,328.33; D & M CONTRACTORS LLC | $628,816.40; GREENPAK SOLUTIONS LIMITED LIABILITY COMPANY | $282,625.20",CHAMBERS,12
NH 2017(260),3003,76 WORKING DAYS,15455585.15,11/3/2016,313.26,LIPHAM ASPHALT AND PAVING COMPANY LLC,12438153.53,3,1963911.83,"MISSOURI PETROLEUM PRODUCTS COMPANY LLC | $13,314,815.80; BRANNAN PAVING CO. LTD. | $14,402,065.36; LIPHAM ASPHALT AND PAVING COMPANY LLC | $12,438,153.53",OCHILTREE,11
NH 1602(523),3004,160 WORKING DAYS,10844664,11/3/2016,4.077,JONES BROS. DIRT & PAVING CONTRACTORS INC.,6917371.67,3,1172071.33,"PRICE CONSTRUCTION LTD. | $7,405,130.50; REECE ALBERT INC. | $8,089,443.00; JONES BROS. DIRT & PAVING CONTRACTORS INC. | $6,917,371.67",MIDLAND,11
STP 2017(258),3005,60 WORKING DAYS,1994619.6,11/3/2016,7.065,DEAN WORD COMPANY LTD.,1750008.32,4,74965.61,"ANGEL BROTHERS HOLDINGS CORP. | $1,782,542.90; LONE STAR PAVING COMPANY | $1,784,105.48; HUNTER INDUSTRIES LTD. | $1,824,973.93; DEAN WORD COMPANY LTD. | $1,750,008.32",DEWITT,11
STP 2017(243),3006,48 WORKING DAYS,802363.45,11/3/2016,4.538,PEACHTREE CONSTRUCTION LTD.,607568.4,4,621459.8,"A. K. GILLIS & SONS INC. | $809,875.65; WEST TEXAS REBAR PLACERS INC. | $1,059,400.48; APAC-TEXAS INC. | $1,229,028.20; PEACHTREE CONSTRUCTION LTD. | $607,568.40",COLLIN,11
STP 2017(256)HES,3007,30 WORKING DAYS,281050,11/3/2016,24.367,TREVWAY INC.,276120,5,76730,"WEST TEXAS REBAR PLACERS INC. | $288,400.00; ODUM SERVICES L.P. | $292,260.00; TREVWAY INC. | $276,120.00; 3LW MANAGEMENT LLC | $280,380.00; FNH CONSTRUCTION LLC | $352,850.00",FAYETTE,11
STP 2012(777)MM,3008,363 WORKING DAYS,9966719.76,11/3/2016,0.1,J.D. ABRAMS L.P.,9048794.43,10,4946940.13,"IOWA BRIDGE & CULVERT LC | $10,193,166.58; SEMA CONSTRUCTION INC. | $10,272,981.51; RAGLE CONSTRUCTION INC. | $11,193,424.14; J.D. ABRAMS L.P. | $9,048,794.43; AUSTIN BRIDGE & ROAD SERVICES LP | $10,841,223.29; FNH CONSTRUCTION LLC | $12,704,497.47; STERLING DELAWARE HOLDING COMPANY INC. | $9,934,525.73; ED BELL CONSTRUCTION COMPANY | $10,946,107.14; COPPELL CONSTRUCTION CO. INC. | $10,507,902.51; MCM | $13,995,734.56",TARRANT,11
STP 2017(245),3009,38 WORKING DAYS,130681,11/3/2016,1,TIGHT LINE CONSTRUCTION LLC,145279,1,0,"TIGHT LINE CONSTRUCTION LLC | $145,279.00",RUSK,11
BR 2006(543),3010,192 WORKING DAYS,2333650.86,11/3/2016,0.1,MCMAHON CONTRACTING L.P.,2474990.19,9,889757.76,"IOWA BRIDGE & CULVERT LC | $2,808,235.01; RAGLE CONSTRUCTION INC. | $2,920,824.06; FNH CONSTRUCTION LLC | $3,303,095.21; MCMAHON CONTRACTING L.P. | $2,474,990.19; LONE STAR CIVIL CONSTRUCTION INC. | $3,364,747.95; COPPELL CONSTRUCTION CO. INC. | $2,761,259.08; ED BELL CONSTRUCTION COMPANY | $3,297,910.96; EARTH BUILDERS L.P. | $2,931,909.90; REBCON INC. | $3,247,366.13",TARRANT,11
STP 2017(285),3011,33 WORKING DAYS,687082.58,11/3/2016,1.313,ANGEL BROTHERS HOLDINGS CORP.,611559.93,7,171160.58,"AUSTIN MATERIALS LLC | $625,905.44; CLARK CONSTRUCTION OF TEXAS INC. | $665,716.87; ANGEL BROTHERS HOLDINGS CORP. | $611,559.93; DEAN WORD COMPANY LTD. | $611,724.62; ACME BRIDGE COMPANY INC. | $782,720.51; HUNTER INDUSTRIES LTD. | $711,292.57; SALINAS CONSTRUCTION TECHNOLOGIES LTD. | $714,257.14",WILSON,11
NH 2017(247),3012,147 WORKING DAYS,2080088.96,11/3/2016,0.551,MAR-CON SERVICES LLC,2240983.05,7,995810.2,"DURWOOD GREENE CONSTRUCTION CO. | $2,269,604.50; ARANDA BROTHERS CONSTRUCTION CO. INC. | $2,351,088.00; MAR-CON SERVICES LLC | $2,240,983.05; ISI CONTRACTING INC. | $2,264,528.70; FNH CONSTRUCTION LLC | $3,236,793.25; HASSELL CONSTRUCTION COMPANY INC. | $2,434,610.46; MAIN LANE INDUSTRIES LTD. | $2,441,348.85",FORT BEND,11
STP 2017(268),3013,75 WORKING DAYS,293816,11/3/2016,3.347,DURABLE SPECIALTIES INC.,281200,5,17577.77,"THE LEVY COMPANY L.P. | $287,797.63; AMERICAN LIGHTING AND SIGNALIZATION INC. | $294,412.68; DURABLE SPECIALTIES INC. | $281,200.00; AUSTIN TRAFFIC SIGNAL CONSTRUCTION CO. INC. | $281,894.40; BAY CITY TRAFFIC | $298,777.77",CORYELL,11
NH 2017(275),3015,70 WORKING DAYS,6553465.84,11/3/2016,8.732,LONE STAR PAVING COMPANY,4749992.46,6,3801798.85,"ANGEL BROTHERS HOLDINGS CORP. | $5,021,163.47; APAC-TEXAS INC. | $5,514,667.09; LONE STAR PAVING COMPANY | $4,749,992.46; AUSTIN MATERIALS LLC | $4,931,697.24; HUNTER INDUSTRIES LTD. | $6,891,151.80; CLARK CONSTRUCTION OF TEXAS INC. | $8,551,791.31",TRAVIS,11
STP 1602(264)HES,3016,187 WORKING DAYS,5046324.59,11/3/2016,10.891,BRANNAN PAVING CO. LTD.,4558633.8,9,832447.02,"J. CARROLL WEAVER INC. | $4,882,327.02; HUNTER INDUSTRIES LTD. | $4,888,933.91; SALINAS CONSTRUCTION TECHNOLOGIES LTD. | $5,274,286.78; BRANNAN PAVING CO. LTD. | $4,558,633.80; TRIPLE B SERVICES LLP | $5,391,080.82; RAY FARIS INC. | $4,861,985.86; FOREMOST PAVING INC. | $4,966,164.30; BAY LTD. | $4,914,972.61; HAAS-ANDERSON CONSTRUCTION LTD. | $4,919,179.47",JIM WELLS,11
STP 2017(273),3017,82 WORKING DAYS,1119297.58,11/3/2016,14.494,HODGES AND SON CONSTRUCTION COMPANY INC.,1250025,7,495459,"JAGOE-PUBLIC COMPANY | $1,432,344.59; FNH CONSTRUCTION LLC | $1,454,756.00; HODGES AND SON CONSTRUCTION COMPANY INC. | $1,250,025.00; WEST TEXAS REBAR PLACERS INC. | $1,272,343.50; THE LANE CONSTRUCTION CORPORATION | $1,745,484.00; SJ&J CONSTRUCTION LLC | $1,676,738.00; PIERCE R & B LLC | $1,742,697.90",COOKE,11
C 911-28-37,3018,164 WORKING DAYS,1100804.5,11/3/2016,0.1,PINTO CONSTRUCTION CO. INC.,746460.56,4,531316.74,"A. L. HELMCAMP INC. | $1,092,914.08; DREWERY CONSTRUCTION COMPANY INCORPORATED | $1,171,649.65; PIERCE R & B LLC | $1,277,777.30; PINTO CONSTRUCTION CO. INC. | $746,460.56",HOUSTON,11
STP 2017(233)HES,3019,120 WORKING DAYS,481722.6,11/3/2016,4.801,TEXAS TRAFFIC CONTROL SYSTEMS INC.,381220,4,99354.94,"STRIPING TECHNOLOGY L.P. | $383,330.00; DURABLE SPECIALTIES INC. | $475,000.00; AMERICAN LIGHTING AND SIGNALIZATION INC. | $480,574.94; TEXAS TRAFFIC CONTROL SYSTEMS INC. | $381,220.00",BOWIE,11
STP 1602(291),3020,140 WORKING DAYS,999998.25,11/3/2016,0.751,ALLEN KELLER COMPANY,1271914.4,6,990490.3,"REECE ALBERT INC. | $1,424,898.02; GILVIN-TERRILL LTD. | $1,548,266.75; ALLEN KELLER COMPANY | $1,271,914.40; DAN WILLIAMS COMPANY | $1,292,453.00; SALINAS CONSTRUCTION TECHNOLOGIES LTD. | $1,605,460.26; FNF CONSTRUCTION INC. | $2,262,404.70",PRESIDIO,11
STP 2017(251),3021,116 WORKING DAYS,682317.75,11/3/2016,0.1,TREVWAY INC.,646827,5,207438,"SOUTH TEXAS ILLUMINATION LLC | $789,192.36; ISI CONTRACTING INC. | $803,846.00; TREVWAY INC. | $646,827.00; ENCINO LANDSCAPE INC. | $651,755.00; FNH CONSTRUCTION LLC | $854,265.00",SAN JACINTO,11
CC 172-9-33,3022,277 WORKING DAYS,4609429.85,11/3/2016,2.877,ED BELL CONSTRUCTION COMPANY,4196348.59,7,1484278.86,"RAGLE CONSTRUCTION INC. | $4,632,342.61; TEXAS-REYES GROUP LTD. | $4,776,777.30; ED BELL CONSTRUCTION COMPANY | $4,196,348.59; MCMAHON CONTRACTING L.P. | $4,579,778.25; FNH CONSTRUCTION LLC | $5,680,627.45; REBCON INC. | $5,300,538.85; LONE STAR CIVIL CONSTRUCTION INC. | $5,424,571.83",TARRANT,11
STP 2017(235)HESG,3023,140 WORKING DAYS,313226.53,11/3/2016,0.406,TEXAS TRAFFIC CONTROL SYSTEMS INC.,256403,4,57936.84,"STRIPING TECHNOLOGY L.P. | $256,779.20; DURABLE SPECIALTIES INC. | $310,310.00; AMERICAN LIGHTING AND SIGNALIZATION INC. | $314,339.84; TEXAS TRAFFIC CONTROL SYSTEMS INC. | $256,403.00",HARRISON,11
STP 1602(198)TP,3024,93 WORKING DAYS,532514.13,11/3/2016,0.2,ARANDA BROTHERS CONSTRUCTION CO. INC.,412715,6,264301,"VALLEY INFRASTRUCTURE INC. | $453,871.00; ENCINO LANDSCAPE INC. | $547,142.00; ARANDA BROTHERS CONSTRUCTION CO. INC. | $412,715.00; G & T PAVING LLC | $445,224.50; FOREMOST PAVING INC. | $565,052.90; TI-ZACK CONCRETE INC. | $677,016.00",CAMERON,11
STP 2017(249),3025,91 WORKING DAYS,11428194.45,11/3/2016,224.674,CLARK CONSTRUCTION OF TEXAS INC.,11201892.34,1,0,"CLARK CONSTRUCTION OF TEXAS INC. | $11,201,892.34",NACOGDOCHES,11
NH 2017(262),3026,72 WORKING DAYS,6806953.35,11/3/2016,203.067,NORTHEASTERN PAVERS INC.,6367226.55,4,1854013.1,"BRANNAN PAVING CO. LTD. | $6,959,161.59; F. N. PLOCH CONSTRUCTION COMPANY INC. | $7,117,592.16; CLARK CONSTRUCTION OF TEXAS INC. | $8,221,239.65; NORTHEASTERN PAVERS INC. | $6,367,226.55",COLEMAN,11
CC 175-8-44,3029,15 WORKING DAYS,42883.5,11/3/2016,0.01,STRIPING TECHNOLOGY L.P.,58317,2,10074.5,"STRIPING TECHNOLOGY L.P. | $58,317.00; LUDCO INC. | $68,391.50",NACOGDOCHES,11
STP 1602(136)MM,3031,300 WORKING DAYS,7571639.93,11/3/2016,1.86,A. K. GILLIS & SONS INC.,7109675.99,10,1890885.81,"RAGLE CONSTRUCTION INC. | $7,724,055.24; D. L. LENNON INCORPORATED - CONTRACTOR | $7,783,764.56; AUSTIN BRIDGE & ROAD SERVICES LP | $8,678,985.18; A. K. GILLIS & SONS INC. | $7,109,675.99; A. L. HELMCAMP INC. | $8,434,489.72; EAST TEXAS BRIDGE INC. | $8,917,964.90; HIGHWAY 19 CONSTRUCTION LLC | $7,192,877.03; ED BELL CONSTRUCTION COMPANY | $8,449,167.85; RK HALL LLC | $8,017,684.39; FNH CONSTRUCTION LLC | $9,000,561.80",HUNT,11
RMC - 630935001,4002,20 W,562838.75,11/3/2016,12.732,LIPHAM ASPHALT AND PAVING COMPANY LLC,504054.7,2,56762.64,"LIPHAM ASPHALT AND PAVING COMPANY LLC | $504,054.70; RONALD R. WAGNER & CO. LP | $560,817.34",FLOYD,11
RMC - 628337001,4004,365 CALENDAR DAYS,1885530,11/3/2016,0.1,TEXAS GULF CONSTRUCTION COMPANY INC.,975375,2,189125,"TEXAS GULF CONSTRUCTION COMPANY INC. | $975,375.00; RUSSELL MARINE LLC | $1,164,500.00",GALVESTON,11
RMC - 629696001,4005,75 W,1174786.01,11/3/2016,2.31,ANGEL BROTHERS HOLDINGS CORP.,890749.7,4,385885.05,"DURWOOD GREENE CONSTRUCTION CO. | $969,614.33; FORDE CONSTRUCTION COMPANY INC. | $1,086,076.94; TLC TRUCKING & CONTRACTING INC. | $1,276,634.75; ANGEL BROTHERS HOLDINGS CORP. | $890,749.70",GALVESTON,11
RMC - 630437001,4007,730 CALENDAR DAYS,4438285,11/3/2016,0.1,ROY JORGENSEN ASSOCIATES INC.,3992174.4,4,1564618.4,"DBI SERVICES LLC | $4,654,706.98; IIPL USA LLC | $4,871,780.00; ICA MAINTENANCE INC. | $5,556,792.80; ROY JORGENSEN ASSOCIATES INC. | $3,992,174.40",TRAVIS,11
RMC - 630485001,4008,40 W,675367,11/3/2016,0.1,CHAMPION INFRASTRUCTURE LLC,894047.5,1,0,"CHAMPION INFRASTRUCTURE LLC | $894,047.50",TRAVIS,11
